OCC,OCCT
0006,CORRECTIONAL INSTITUTION ADMINISTRATION
0007,CORRECTIONAL OFFICER
0017,EXPLOSIVES SAFETY
0018,SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT
0019,SAFETY TECHNICIAN
0020,COMMUNITY PLANNING
0021,COMMUNITY PLANNING TECHNICIAN
0023,OUTDOOR RECREATION PLANNING
0025,PARK RANGER
0028,ENVIRONMENTAL PROTECTION SPECIALIST
0029,ENVIRONMENTAL PROTECTION ASSISTANT
0030,SPORTS SPECIALIST
0050,FUNERAL DIRECTING
0060,CHAPLAIN
0062,CLOTHING DESIGN
0072,FINGERPRINT IDENTIFICATION
0080,SECURITY ADMINISTRATION
0081,FIRE PROTECTION AND PREVENTION
0082,UNITED STATES MARSHAL
0083,POLICE
0084,NUCLEAR MATERIALS COURIER
0085,SECURITY GUARD
0086,SECURITY CLERICAL AND ASSISTANCE
0089,EMERGENCY MANAGEMENT SPECIALIST
0090,GUIDE
0095,FOREIGN LAW SPECIALIST
0099,GENERAL STUDENT TRAINEE
0101,SOCIAL SCIENCE
0102,SOCIAL SCIENCE AID AND TECHNICIAN
0105,SOCIAL INSURANCE ADMINISTRATION
0106,UNEMPLOYMENT INSURANCE
0107,HEALTH INSURANCE ADMINISTRATION
0110,ECONOMIST
0119,ECONOMICS ASSISTANT
0130,FOREIGN AFFAIRS
0131,INTERNATIONAL RELATIONS
0132,INTELLIGENCE
0134,INTELLIGENCE AID AND CLERK
0135,FOREIGN AGRICULTURAL AFFAIRS
0136,INTERNATIONAL COOPERATION
0140,WORKFORCE RESEARCH AND ANALYSIS
0142,WORKFORCE DEVELOPMENT
0150,GEOGRAPHY
0160,CIVIL RIGHTS ANALYSIS
0170,HISTORY
0180,PSYCHOLOGY
0181,PSYCHOLOGY AID AND TECHNICIAN
0184,SOCIOLOGY
0185,SOCIAL WORK
0186,SOCIAL SERVICES AID AND ASSISTANT
0187,SOCIAL SERVICES
0188,RECREATION SPECIALIST
0189,RECREATION AID AND ASSISTANT
0190,GENERAL ANTHROPOLOGY
0193,ARCHEOLOGY
0199,SOCIAL SCIENCE STUDENT TRAINEE
0201,HUMAN RESOURCES MANAGEMENT
0203,HUMAN RESOURCES ASSISTANCE
0241,MEDIATION
0244,LABOR-MANAGEMENT RELATIONS EXAMINING
0260,EQUAL EMPLOYMENT OPPORTUNITY
0299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE
0301,MISCELLANEOUS ADMINISTRATION AND PROGRAM
0302,MESSENGER
0303,MISCELLANEOUS CLERK AND ASSISTANT
0304,INFORMATION RECEPTIONIST
0305,MAIL AND FILE
0306,GOVERNMENT INFORMATION SPECIALIST
0308,RECORDS AND INFORMATION MANAGEMENT
0309,CORRESPONDENCE CLERK
0313,WORK UNIT SUPERVISING
0318,SECRETARY
0319,CLOSED MICROPHONE REPORTER
0322,CLERK-TYPIST
0326,OFFICE AUTOMATION CLERICAL AND ASSISTANCE
0332,COMPUTER OPERATION
