PPGRD,PAYPLANT
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GL,GL-GS EMPLOYEES IN GRADES 3 THROUGH 10 PAID A LAW ENFORCEMENT OFFICER SPECIAL BASE RATE
GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS
GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS
GM,GM-EMPLOYEES COVERED BY THE PERFORMANCE MANAGEMENT AND RECOGNITION SYSTEM (PMRS) TERMINATION PROVISIONS
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
GS,GS-GENERAL SCHEDULE
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
CG,CG-CORPORATE GRADED
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
FG,FG-SIMILAR TO THE GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE
GP,"GP-GS PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
GP,"GP-GS PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
GP,"GP-GS PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
GP,"GP-GS PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
GP,"GP-GS PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
GR,"GR-GM PHYSICIANS, PODIATRISTS, AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C)"
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
PG,PG-PRINTING OFFICE GRADES
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM
NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM
NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM
NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM
NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM
NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS"
WB,WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED
WB,WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED
WB,WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED
WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM
WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM
WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM
WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM
